0	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	
0.01	1	1.11	1.198	1.3024	1.38912	1.49674	1.58642	1.69195	1.78392	1.88652	
0.02	1	1.11143	1.20294	1.30165	1.39904	1.4938	1.59972	1.68445	1.80151	1.87383	
0.03	1.00273	1.11279	1.20785	1.30079	1.40902	1.49048	1.61306	1.67639	1.81915	1.86039	
0.04	1.00541	1.11412	1.21277	1.29988	1.419	1.48701	1.62637	1.66814	1.83671	1.8467	
0.05	1.0081	1.11542	1.21769	1.29893	1.42897	1.48339	1.63963	1.6597	1.85416	1.8328	
0.06	1.01081	1.11667	1.22261	1.29793	1.43893	1.47963	1.65284	1.65109	1.8715	1.81868	
0.07	1.01353	1.11789	1.22754	1.29688	1.44888	1.47573	1.66599	1.6423	1.88871	1.80437	
0.08	1.01626	1.11907	1.23246	1.29579	1.45881	1.47169	1.67906	1.63334	1.90578	1.78986	
0.09	1.019	1.12021	1.23738	1.29465	1.46872	1.46752	1.69207	1.62422	1.92271	1.77517	
0.1	1.02175	1.12131	1.2423	1.29347	1.47861	1.4632	1.705	1.61494	1.93948	1.7603	
0.11	1.02452	1.12238	1.24722	1.29225	1.48847	1.45876	1.71785	1.60551	1.95609	1.74528	
0.12	1.0273	1.12341	1.25213	1.29098	1.49831	1.45418	1.73061	1.59593	1.97253	1.73009	
0.13	1.03009	1.1244	1.25704	1.28967	1.50812	1.44947	1.74328	1.5862	1.98879	1.71476	
0.14	1.03288	1.12535	1.26195	1.28832	1.51789	1.44463	1.75584	1.57633	2.00485	1.6993	
0.15	1.03569	1.12627	1.26685	1.28693	1.52762	1.43966	1.76831	1.56633	2.02071	1.68371	
0.16	1.03852	1.12715	1.27175	1.2855	1.53732	1.43458	1.78066	1.5562	2.03637	1.66801	
0.17	1.04135	1.12798	1.27664	1.28403	1.54697	1.42937	1.7929	1.54595	2.0518	1.6522	
0.18	1.04419	1.12879	1.28152	1.28252	1.55658	1.42404	1.80502	1.53558	2.06702	1.6363	
0.19	1.04704	1.12955	1.2864	1.28097	1.56614	1.4186	1.81701	1.5251	2.08199	1.62031	
0.2	1.0499	1.13028	1.29127	1.27938	1.57565	1.41304	1.82887	1.51451	2.09673	1.60425	
0.21	1.05277	1.13096	1.29613	1.27776	1.5851	1.40737	1.84059	1.50382	2.11121	1.58811	
0.22	1.05564	1.13161	1.30098	1.2761	1.59449	1.40159	1.85218	1.49304	2.12544	1.57193	
0.23	1.05853	1.13223	1.30583	1.27441	1.60383	1.39571	1.86362	1.48216	2.1394	1.55569	
0.24	1.06142	1.1328	1.31066	1.27268	1.6131	1.38972	1.8749	1.4712	2.15309	1.53942	
0.25	1.06433	1.13334	1.31548	1.27091	1.6223	1.38364	1.88604	1.46016	2.1665	1.52312	
0.26	1.06724	1.13384	1.32029	1.26912	1.63144	1.37745	1.89701	1.44905	2.17963	1.5068	
0.27	1.07015	1.1343	1.32509	1.26728	1.6405	1.37117	1.90782	1.43787	2.19247	1.49047	
0.28	1.07308	1.13472	1.32988	1.26542	1.64949	1.3648	1.91846	1.42662	2.20501	1.47414	
0.29	1.07601	1.13511	1.33465	1.26352	1.65841	1.35834	1.92893	1.41532	2.21725	1.45781	
0.3	1.07895	1.13546	1.33941	1.26159	1.66724	1.35179	1.93921	1.40397	2.22918	1.4415	
0.31	1.08189	1.13577	1.34416	1.25963	1.67599	1.34516	1.94932	1.39257	2.2408	1.42522	
0.32	1.08484	1.13605	1.34889	1.25764	1.68465	1.33844	1.95924	1.38114	2.2521	1.40897	
0.33	1.0878	1.13629	1.3536	1.25562	1.69322	1.33165	1.96898	1.36967	2.26308	1.39276	
0.34	1.09076	1.13649	1.3583	1.25357	1.7017	1.32479	1.97852	1.35817	2.27374	1.3766	
0.35	1.09373	1.13666	1.36299	1.2515	1.71009	1.31785	1.98787	1.34664	2.28407	1.3605	
0.36	1.0967	1.13679	1.36765	1.24939	1.71838	1.31085	1.99701	1.3351	2.29406	1.34446	
0.37	1.09968	1.13688	1.3723	1.24725	1.72657	1.30378	2.00595	1.32354	2.30373	1.32848	
0.38	1.10266	1.13694	1.37693	1.24509	1.73466	1.29665	2.01469	1.31197	2.31305	1.31259	
0.39	1.10564	1.13696	1.38155	1.2429	1.74264	1.28945	2.02322	1.3004	2.32203	1.29678	
0.4	1.10863	1.13694	1.38614	1.24069	1.75052	1.28221	2.03154	1.28883	2.33068	1.28106	
0.41	1.11162	1.13689	1.39072	1.23844	1.75828	1.2749	2.03965	1.27727	2.33898	1.26544	
0.42	1.11462	1.13681	1.39527	1.23618	1.76594	1.26755	2.04754	1.26571	2.34693	1.24992	
0.43	1.11762	1.13669	1.3998	1.23388	1.77348	1.26015	2.05521	1.25418	2.35454	1.23451	
0.44	1.12062	1.13653	1.40432	1.23156	1.78091	1.25271	2.06266	1.24266	2.36181	1.21921	
0.45	1.12362	1.13634	1.40881	1.22922	1.78821	1.24522	2.06989	1.23117	2.36873	1.20403	
0.46	1.12662	1.13612	1.41328	1.22686	1.7954	1.2377	2.07689	1.2197	2.3753	1.18898	
0.47	1.12963	1.13586	1.41772	1.22447	1.80247	1.23014	2.08367	1.20827	2.38152	1.17405	
0.48	1.13264	1.13556	1.42215	1.22205	1.80941	1.22255	2.09023	1.19688	2.3874	1.15925	
0.49	1.13565	1.13524	1.42655	1.21962	1.81622	1.21493	2.09656	1.18552	2.39294	1.14459	
0.5	1.13866	1.13487	1.43092	1.21716	1.82291	1.20729	2.10265	1.17421	2.39813	1.13008	
0.51	1.14167	1.13448	1.43528	1.21468	1.82947	1.19962	2.10852	1.16295	2.40298	1.1157	
0.52	1.14468	1.13405	1.4396	1.21217	1.83589	1.19193	2.11416	1.15174	2.40749	1.10148	
0.53	1.14768	1.13359	1.44391	1.20965	1.84219	1.18422	2.11957	1.14059	2.41166	1.0874	
0.54	1.15069	1.1331	1.44818	1.2071	1.84835	1.1765	2.12475	1.1295	2.4155	1.07348	
0.55	1.1537	1.13257	1.45243	1.20453	1.85437	1.16876	2.12969	1.11847	2.419	1.05972	
0.56	1.15671	1.13202	1.45666	1.20195	1.86026	1.16102	2.13441	1.1075	2.42217	1.04611	
0.57	1.15972	1.13143	1.46085	1.19933	1.86601	1.15327	2.13889	1.09661	2.42501	1.03267	
0.58	1.16272	1.13081	1.46502	1.1967	1.87161	1.14551	2.14314	1.08578	2.42753	1.01939	
0.59	1.16573	1.13015	1.46917	1.19405	1.87708	1.13775	2.14716	1.07503	2.42972	1.00627	
0.6	1.16873	1.12947	1.47328	1.19138	1.88241	1.13	2.15096	1.06436	2.43159	0.993323	
0.61	1.17173	1.12876	1.47736	1.18869	1.88759	1.12225	2.15452	1.05377	2.43315	0.980543	
0.62	1.17472	1.12801	1.48142	1.18598	1.89263	1.1145	2.15785	1.04326	2.4344	0.967932	
0.63	1.17771	1.12724	1.48545	1.18326	1.89753	1.10676	2.16096	1.03283	2.43534	0.955493	
0.64	1.1807	1.12644	1.48944	1.18051	1.90228	1.09903	2.16384	1.02249	2.43598	0.943225	
0.65	1.18369	1.12561	1.49341	1.17774	1.90688	1.09132	2.16649	1.01224	2.43632	0.93113	
0.66	1.18667	1.12474	1.49734	1.17496	1.91134	1.08362	2.16893	1.00208	2.43636	0.919208	
